1901  |010001 |R     And *|002401.95 +383437.3 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|           |-0.016 -0.035|2000.0  | |Hip      |M         |R     And |
10687 |010006 |W     And *|021732.96 +441817.8 |M         |  6.7    |  14.6      |            |V |48654.      |     |   397.3            |42   |S6,1e-S9,2e      |HIP   00002|           |-0.001 -0.003|2000.0  | |Hip      |M         |W     And |
116287|010009 |Z     And *|233339.95 +484905.9 |ZAND      |  7.7    |  11.3      |            |V |            |     |                    |     |M2III+B1eq       |N0036 00002|           |-0.007 -0.006|2000.0  | |Hip      |Sym       |Z     And |
114484|010012 |RT    And *|231110.10 +530133.0 |EA/RS     |  8.97   |   9.83     |   9.28     |V |51421.737   |     |     0.6289216      |17  *|F8V+K1           |00001 HIP  |           |-0.007 -0.021|2000.0  | |Hip      |EA+RS     |RT    And |
10192 |010014 |RV    And  |021102.57 +485645.1 |SRA       |  9.0    |  11.5      |            |V |48667.      |     |   168.9            |     |M4e              |00001 00002|           |+0.014 -0.002|2000.0  | |Hip      |SR        |RV    And |
114345|010018 |RZ    And  |230930.04 +530239.8 |CST       |  9.43   |            |            |V |            |     |                    |     |K0               |00098 00002|           |+0.004 +0.001|2000.0  | |Hip      |Cst       |RZ    And |
114507|010019 |SS    And *|231130.07 +525312.5 |SRC       | 10.0    |  11.4      |            |p |            |     |   152.5            |     |M6II             |00098 00098|           |-0.007 -0.004|2000.0  | |Hip      |SR        |SS    And |
116681|010020 |ST    And  |233845.14 +354621.2 |SRA       |  7.7    |  11.8      |            |V |53720.      |     |   326.6            |52   |C4,3e-C6,4e      |00001 00002|           |+0.002 -0.004|2000.0  | |Hip      |SR        |ST    And |
363   |010021 |SU    And *|000436.41 +433304.7 |LC        |  8.0    |   8.5      |            |V |            |     |                    |     |C6,4(C5II)       |      HIP  |           |-0.005 -0.003|2000.0  | |Hip      |Lb        |SU    And |
344   |010022 |SV    And *|000420.07 +400635.8 |M         |  7.7    |  14.7      |            |V |53220.      |     |   313.             |42   |M5e-M7e          |00001 00002|           |-0.004 -0.003|2000.0  | |Hip      |M         |SV    And |
1878  |010023 |SW    And *|002343.09 +292403.6 |RRAB      |  9.14   |  10.09     |            |V |53735.538   |     |     0.4422618      |17   |A7III-F8III      |00001 HIP  |           |-0.005 -0.019|2000.0  | |Hip      |RR0       |SW    And |
2546  |010028 |TU    And  |003222.73 +260146.0 |M         |  7.5    |  13.5      |            |V |53700.      |     |   316.8            |48   |M5e              |00001 00002|           |-0.006 -0.001|2000.0  | |Hip      |M         |TU    And |
113405|010029 |TV    And  |225803.05 +424411.1 |SRB       |  8.3    |  11.5      |            |V |            |     |   110.             |     |M4e-M5e          |00001 00002|           |-0.003 -0.009|2000.0  | |Hip      |SR        |TV    And |
262   |010030 |TW    And *|000318.23 +325045.1 |EA        |  8.98   |  11.04     |   9.13     |V |53693.355   |     |     4.122834       |13   |F0V+K0           |00001 HIP  |           |+0.052 -0.002|2000.0  | |Hip      |EA        |TW    And |
114757|010032 |TY    And  |231444.20 +404739.3 |SRB       |  8.8    |  10.5      |            |V |            |     |   260.          :  |     |M5e-M6e          |00001 00002|           |+0.003 -0.010|2000.0  | |Hip      |SR        |TY    And |
117591|010033 |TZ    And  |235051.80 +473028.4 |LB:       |  8.0    |   9.3      |            |V |            |     |                    |     |M5-6III          |00001 HIP  |           |+0.005 +0.003|2000.0  | |Hip      |Lb:       |TZ    And |
12298 |010038 |UY    And  |023823.79 +391009.9 |LB        |  7.4    |  12.3      |            |V |            |     |                    |     |C5,4(N3)         |00104 00002|           |+0.000 -0.001|2000.0  | |Hip      |Lb        |UY    And |
1593  |010042 |VX    And *|001954.02 +444233.9 |SRA       |  7.5    |   9.7      |            |V |            |     |   375.             |     |C4,5J(N7)        |N0039 00002|           |-0.020 -0.009|2000.0  | |Hip      |SR        |VX    And |
113715|010043 |VY    And  |230149.47 +455309.1 |SRB       |  9.6    |  11.8      |            |V |            |     |   149.          :  |     |C3,5J-C4,4-5(R8) |00310 00002|           |-0.004 +0.001|2000.0  | |Hip      |SR        |VY    And |
117143|010045 |WW    And *|234453.55 +454111.5 |EA        | 10.92   |(  0.67    )|(  0.16    )|V |34618.185   |     |    23.285213       |05  *|A5+F3p           |N0040 HIP  |           |+0.002 -0.005|2000.0  | |Hip      |EA        |WW    And |
116883|010047 |WY    And *|234129.69 +473543.8 |SRD       |  8.65   |   9.65     |            |V |            |     |   109.65           |43   |G2e-K2(M3)       |N0042 DM   |           |+0.002 -0.021|2000.0  | |Hip      |SRd       |WY    And |
6029  |010049 |XX    And *|011727.41 +385702.0 |RRAB      | 10.08   |  11.13     |            |V |53662.575   |     |     0.722757       |19   |A8-F6            |00001 00002|           |+0.059 -0.035|2000.0  | |Hip      |RR0       |XX    And |
114012|010055 |AA    And  |230522.84 +474034.7 |EB        | 10.3    |  11.2      |  10.6      |p |52500.730   |     |     0.9350969      |     |B8V              |N0041 HIP  |           |-0.003 -0.011|2000.0  | |Hip      |EC        |AA    And |
114508|010056 |AB    And *|231132.09 +365335.1 |EW        |  9.49   |  10.46     |  10.32     |V |52500.0599  |     |     0.3318912      |     |G5+G5V           |N0041 00002|           |+0.109 -0.054|2000.0  | |Hip      |EC        |AB    And |
115046|010057 |AC    And *|231802.35 +484658.3 |*         | 10.70   |(  1.2     )|            |V |28009.31    |     |     0.7112376      |     |A9-F8            |N0043 HIP  |           |-0.003 -0.004|2000.0  | |Hip      |*         |AC    And |
115065|010067 |AN    And  |231823.32 +414625.2 |EB        |  5.96   |   6.11     |   6.05     |V |48500.732   |     |     3.21952        |     |A7mIII-IV        |HIP   DM   |           |-0.010 -0.011|2000.0  | |Hip      |EC        |AN    And |
2180  |010070 |AQ    And *|002731.68 +353514.5 |SRB       |  7.7    |   9.5      |            |V |            |     |   169.             |     |C5,4(Nb)         |N0039 DM   |           |-0.005 -0.014|2000.0  | |Hip      |SR        |AQ    And |
116958|010073 |AT    And *|234230.83 +430051.7 |RRAB      | 10.42   |  10.92     |            |V |53287.4851  |     |     0.6169122      |21   |F0-F7            |00001 HIP  |           |-0.007 -0.050|2000.0  | |Hip      |RR0       |AT    And |
10027 |010101 |BX    And *|020903.42 +404739.2 |EB        |  8.87   |   9.53     |   9.12     |V |52500.3454  |     |     0.6101119      |     |F2V              |N0041 HIP  |           |+0.008 -0.008|2000.0  | |Hip      |EC        |BX    And |
2962  |010103 |BZ    And  |003737.74 +453615.3 |LB        |  7.7    |   8.6      |            |V |            |     |                    |     |K9               |00821 02377|           |+0.012 +0.002|2000.0  | |Hip      |Lb        |BZ    And |
3432  |010104 |CC    And *|004348.01 +421655.7 |DSCT      |  9.19   |   9.46     |            |V |            |     |     0.1249078      |40   |F3IV-V           |02269 HIP  |           |-0.008 -0.005|2000.0  | |Hip      |DSct      |CC    And |
63    |010108 |CG    And *|000043.63 +451512.0 |ACV       |  6.32   |   6.42     |            |V |41152.67    |     |     3.73975        |     |B9pSiEu          |69120 HIP  |           |+0.017 +0.000|2000.0  | |Hip      |ACV       |CG    And |
8939  |010110 |CI    And *|015508.29 +434556.5 |RRAB      | 11.76   |  12.66     |            |V |51441.803   |     |     0.4847267      |18   |A8               |00001 HIP  |           |+0.000 -0.004|2000.0  | |Hip      |RR0       |CI    And |
3494  |010151 |EG    And *|004437.19 +404045.7 |ZAND      |  6.97   |   7.8      |            |V |            |     |                    |     |M2IIIep          |N0057 DM   |           |+0.009 -0.015|2000.0  | |Hip      |Sym       |EG    And |
115036|010163 |ET    And *|231756.01 +452920.1 |ACV       |  6.48   |(  0.03    )|            |V |            |     |     1.618875       |     |B9pSi            |N0063 HIP  |           |+0.024 -0.010|2000.0  | |Hip      |ACV       |ET    And |
115743|010166 |EW    And  |232657.36 +493059.0 |LB        | 10.8    |  11.8      |            |p |            |     |                    |     |C7,3(Nb)         |04336 04336|           |-0.003 -0.002|2000.0  | |Hip      |Lb        |EW    And |
3362  |010170 |FF    And *|004248.25 +353255.6 |UV+BY     | 12.02   |  12.90     |            |U |            |     |                    |     |M1Ve+M1Ve        |07472 HIP  |           |+0.265 +0.074|2000.0  | |Hip      |UV+BY     |FF    And |
2355  |010196 |GN    And *|003007.37 +294505.6 |DSCTC     |  5.23   |(  0.05    )|            |V |            |     |     0.069304115    |     |A9IV             |N0070 HIP  |           |+0.044 -0.057|2000.0  | |Hip      |DSct      |GN    And |
3919  |010197 |GO    And  |005018.26 +450008.1 |ACV       |  6.12   |(  0.04    )|            |V |            |     |     2.5481         |     |A0pSrCrEu        |N0071 HIP  |           |+0.061 +0.007|2000.0  | |Hip      |ACV       |GO    And |
4322  |010198 |GP    And *|005518.15 +230949.4 |DSCT      | 10.53   |(  0.6     )|            |V |47005.61456 |     |     0.0786827620   |31   |A3               |N0072 HIP  |           |+0.024 +0.000|2000.0  | |Hip      |DSct      |GP    And |
2243  |010200 |GR    And  |002828.57 +322615.9 |ACV       |  6.87   |   6.95     |            |V |            |     |   546.87           |     |A2pSrCrEu        |N0073 HIP  |           |-0.027 -0.020|2000.0  | |Hip      |ACV       |GR    And |
1475  |010206 |GX    And *|001822.89 +440122.6 |UV        | 10.30   |  10.85     |            |U |            |     |                    |     |M1Ve             |N0074 09033|           |+2.889 +0.411|2000.0  | |Hip      |UV        |GX    And |
7651  |010207 |GY    And *|013831.82 +452359.0 |ACV       |  6.27   |   6.44     |            |V |            |     |  8000.          :  |     |B9VpCrEu         |N0075 HIP  |           |-0.016 +0.001|2000.0  | |Hip      |ACV       |GY    And |
10270 |010208 |GZ    And *|021214.1  +443934. :|EW        | 10.83   |  11.61     |  11.58     |V |52500.1211  |     |     0.3050169      |     |                 |N0041 06830|           |             |1953.998| |GCVS     |EC        |GZ    And |
6560  |010214 |HN    And *|012418.67 +430831.6 |ACV       |  6.67   |   6.76     |            |V |            |     |    69.92           |     |A2pSrCrEu        |06992 DM   |           |-0.002 -0.009|2000.0  | |Hip      |ACV       |HN    And |
