#star designation,planet designation,proper name
HIP 87937,,Barnard's Star
HIP 70890,,Proxima
HIP 24186,,Kapteyn's Star
alpha Tau,,Aldebaran
14 And,,Veritate
14 Andromedae,,Veritate
14 And,b,Spe
14 Andromedae,b,Spe
18 Delphini,,Musica
18 Del,,Musica
18 Del,b,Arion
18 Delphinib,Arion
42 Dra,,Fafnir
42 Draconis,,Fafnir
42 Dra,b,Orbitar
42 Draconis,b,Orbitar
47 UMa,,Chalawan
47 Ursae Majoris,,Chalawan
47 UMa,b,Taphao Thong
47 Ursae Majoris,b,Taphao Thong
47 UMa,c,Taphao Kaew
47 Ursae Majoris,c,Taphao Kaew
51 Peg,,Helvetios
51 Pegasi,,Helvetios
51 Peg,b,Dimidium
51 Pegasi,b,Dimidium
55 Cnc,,Copernicus
55 Cancri,,Copernicus
55 Cnc,b,Galileo
55 Cancri,b,Galileo
55 Cnc,c,Brahe
55 Cancri,c,Brahe
55 Cnc,d,Lipperhey
55 Cancri,d,Lipperhey
55 Cnc,e,Janssen
55 Cancri,e,Janssen
55 Cnc,f,Harriot
55 Cancri,f,Harriot
epsilon Tau,,Ain
eps Tau,,Ain
epsilon Tauri,,Ain
epsilon Tau,b,Amateru
eps Tau,b,Amateru
epsilon Tauri,b,Amateru
iota Dra,,Edasich
iot Dra,,Edasich
iota Draconis,,Edasich
iota Dra,b,Hypatia
iot Dra,b,Hypatia
iota Draconis,b,Hypatia
epsilon Eri,,Ran
eps Eri,,Ran
epsilon Eridani,,Ran
c Eri,,Ran
epsilon Eri,b,AEgir
eps Eri,b,AEgir
epsilon Eridani,b,AEgir
c Eri,b,AEgir
gamma Cep,,Errai
gamma Cephei,,Errai
gamma Cep,b,Tadmor
gamma Cephei,b,Tadmor
alpha PsA,,Fomalhaut
alp PsA,,Fomalhaut
alpha Piscis Austrini,,Fomalhaut
alpha PsA,b,Dagon
alp PsA,b,Dagon
alpha Piscis Austrini,b,Dagon
Fomalhaut,b,Dagon
HD 104985,,Tonatiuh
HD 104985,b,Meztli
HD 149026,,Ogma
HD 149026,b,Smertrios
HD 81688,,Intercrus
HD 81688,b,Arkas
mu Ara,,Cervantes
mu Arae,,Cervantes
mu Ara,b,Quijote
mu Arae,b,Quijote
mu Ara,c,Dulcinea
mu Arae,c,Dulcinea
mu Ara,d,Rocinante
mu Arae,d,Rocinante
mu Ara,e,Sancho
mu Arae,e,Sancho
beta Gem,,Pollux
bet Gem,,Pollux
beta Geminorum,,Pollux
beta Gem,b,Thestias
bet Gem,b,Thestias
beta Geminorum,b,Thestias
Pollux,b,Thestias
PSR B1257+12,,Lich
PSR B1257+12,b,Draugr
PSR B1257+12,c,Poltergeist
PSR B1257+12,d,Phobetor
upsilon And,,Titawin
ups And,,Titawin
upsilon Andromedae,,Titawin
upsilon And,b,Saffar
ups And,b,Saffar
upsilon Andromedae,b,Saffar
upsilon And,c,Samh
ups And,c,Samh
upsilon Andromedae,c,Samh
upsilon And,d,Majriti
ups And,d,Majriti
upsilon Andromedae,d,Majriti
xi Aql,,Libertas
xi Aquilae,,Libertas
xi Aql,b,Fortitudo
xi Aquilae,b,Fortitudo
HD 82886,,Illyrian
HD 82886,b,Arber
HD 28678,,Hoggar
HD 28678,b,Tassili
HD 131496,,Arcalís
HD 131496,b,Madriu
HD 48265,,Nosaxa
HD 48265,b,Naqaỹa
WASP-39,,Malmok
WASP-39,b,Bocaprins
HD 38283,,Bubup
HD 38283,b,Yanyan
HAT-P-14,,Franz
HAT-P-14,b,Sissi
HD 152581,,Mahsati
HD 152581,b,Ganja
HD 148427,,Timir
HD 148427,b,Tondra
